Day,Cloud_Condition
80002,Mostly Cloudy
80003,Mostly Cloudy
80004,Mostly Cloudy
80005,Mostly Cloudy
80006,Mostly Cloudy
80007,Mostly Cloudy
80008,Mostly Cloudy
80009,Foggy
80010,Foggy
80011,Foggy
80012,Foggy
80013,Foggy
80014,Foggy
80015,Foggy
80016,Foggy
80017,Foggy
80018,Foggy
80019,Foggy
80020,Foggy
80021,Foggy
80022,Foggy
80023,Foggy
80024,Foggy
80025,Foggy
80026,Foggy
80027,Overcast
80028,Foggy
80029,Foggy
80030,Foggy
80031,Foggy
80032,Foggy
80033,Foggy
80034,Foggy
80035,Foggy
80036,Foggy
80037,Foggy
80038,Foggy
80039,Foggy
80040,Foggy
80041,Foggy
80042,Foggy
80043,Foggy
80044,Foggy
80045,Foggy
80046,Foggy
80047,Foggy
80048,Foggy
80049,Foggy
80050,Foggy
80051,Foggy
80052,Foggy
80053,Foggy
80054,Foggy
80055,Foggy
80056,Foggy
80057,Foggy
80058,Foggy
80059,Foggy
80060,Foggy
80061,Foggy
80062,Foggy
80063,Overcast
80064,Foggy
80065,Foggy
80066,Foggy
80067,Mostly Cloudy
80068,Foggy
80069,Mostly Cloudy
80070,Foggy
80071,Foggy
80072,Foggy
80073,Foggy
80074,Foggy
80075,Foggy
80076,Foggy
80077,Foggy
80078,Foggy
80079,Foggy
80080,Foggy
80081,Foggy
80082,Foggy
80083,Foggy
80084,Foggy
80085,Foggy
80086,Foggy
80087,Foggy
80088,Foggy
80089,Foggy
80090,Foggy
80091,Foggy
80092,Foggy
80093,Foggy
80094,Foggy
80095,Overcast
80096,Foggy
80097,Mostly Cloudy
80098,Mostly Cloudy
80099,Mostly Cloudy
80100,Mostly Cloudy
80101,Mostly Cloudy
80102,Mostly Cloudy
80103,Mostly Cloudy
80104,Mostly Cloudy
80105,Mostly Cloudy
80106,
80107,Mostly Cloudy
80108,Mostly Cloudy
80109,Mostly Cloudy
80110,Mostly Cloudy
80111,Mostly Cloudy
80112,Mostly Cloudy
80113,Mostly Cloudy
80114,Mostly Cloudy
80115,Mostly Cloudy
80116,Mostly Cloudy
80117,Mostly Cloudy
80118,Mostly Cloudy
80119,Mostly Cloudy
80120,Mostly Cloudy
80121,Mostly Cloudy
80122,Mostly Cloudy
80123,Mostly Cloudy
80124,Mostly Cloudy
80125,Mostly Cloudy
80126,Mostly Cloudy
80127,Mostly Cloudy
80128,Mostly Cloudy
80129,Mostly Cloudy
80130,Mostly Cloudy
80131,Mostly Cloudy
80132,Mostly Cloudy
80133,Mostly Cloudy
80134,Mostly Cloudy
80135,Mostly Cloudy
80136,Mostly Cloudy
80137,Mostly Cloudy
80138,Mostly Cloudy
80139,Mostly Cloudy
80140,Mostly Cloudy
80141,Mostly Cloudy
80142,Mostly Cloudy
80143,Mostly Cloudy
80144,Mostly Cloudy
80145,Mostly Cloudy
80146,Mostly Cloudy
80147,Mostly Cloudy
80148,Mostly Cloudy
80149,Mostly Cloudy
80150,Mostly Cloudy
80151,Mostly Cloudy
80152,Mostly Cloudy
80153,Mostly Cloudy
80154,Mostly Cloudy
80155,Mostly Cloudy
80156,Mostly Cloudy
80157,Mostly Cloudy
80158,Mostly Cloudy
80159,Mostly Cloudy
80160,Mostly Cloudy
80161,Mostly Cloudy
80162,Mostly Cloudy
80163,Mostly Cloudy
80164,Mostly Cloudy
80165,Mostly Cloudy
80166,Overcast
80167,Mostly Cloudy
80168,Mostly Cloudy
80169,Mostly Cloudy
80170,Mostly Cloudy
80171,Mostly Cloudy
80172,Mostly Cloudy
80173,Mostly Cloudy
80174,Mostly Cloudy
80175,Mostly Cloudy
80176,Mostly Cloudy
80177,Mostly Cloudy
80178,Mostly Cloudy
80179,Mostly Cloudy
80180,Mostly Cloudy
80181,Mostly Cloudy
80182,Mostly Cloudy
80183,Mostly Cloudy
80184,Mostly Cloudy
80185,Mostly Cloudy
80186,Mostly Cloudy
80187,Mostly Cloudy
80188,Mostly Cloudy
80189,Mostly Cloudy
80190,Mostly Cloudy
80191,Mostly Cloudy
80192,Mostly Cloudy
80193,Mostly Cloudy
80194,Mostly Cloudy
80195,Mostly Cloudy
80196,Mostly Cloudy
80197,Mostly Cloudy
80198,Mostly Cloudy
80199,Mostly Cloudy
80200,Mostly Cloudy
80201,Mostly Cloudy
80202,Mostly Cloudy
80203,Mostly Cloudy
80204,Mostly Cloudy
80205,Mostly Cloudy
80206,Mostly Cloudy
80207,Mostly Cloudy
80208,Mostly Cloudy
80209,Mostly Cloudy
80210,Mostly Cloudy
80211,Mostly Cloudy
80212,Mostly Cloudy
80213,Mostly Cloudy
80214,Mostly Cloudy
80215,Mostly Cloudy
80216,Mostly Cloudy
80217,Mostly Cloudy
80218,Mostly Cloudy
80219,Mostly Cloudy
80220,Mostly Cloudy
80221,Mostly Cloudy
80222,Mostly Cloudy
80223,Mostly Cloudy
80224,Mostly Cloudy
80225,Mostly Cloudy
80226,Mostly Cloudy
80227,Mostly Cloudy
80228,
80229,Mostly Cloudy
80230,Mostly Cloudy
80231,Mostly Cloudy
80232,Mostly Cloudy
80233,Mostly Cloudy
80234,Mostly Cloudy
80235,Mostly Cloudy
80236,Mostly Cloudy
80237,Mostly Cloudy
80238,Mostly Cloudy
80239,Mostly Cloudy
80240,Mostly Cloudy
80241,Mostly Cloudy
80242,Mostly Cloudy
80243,Mostly Cloudy
80244,Mostly Cloudy
80245,Mostly Cloudy
80246,Mostly Cloudy
80247,Mostly Cloudy
80248,Mostly Cloudy
80249,Mostly Cloudy
80250,Mostly Cloudy
80251,Mostly Cloudy
80252,Mostly Cloudy
80253,Mostly Cloudy
80254,Mostly Cloudy
80255,Mostly Cloudy
80256,Mostly Cloudy
80257,Mostly Cloudy
80258,Mostly Cloudy
80259,Mostly Cloudy
80260,Mostly Cloudy
80261,Mostly Cloudy
80262,Mostly Cloudy
80263,Mostly Cloudy
80264,Mostly Cloudy
80265,Mostly Cloudy
80266,Mostly Cloudy
80267,Mostly Cloudy
80268,Mostly Cloudy
80269,Mostly Cloudy
80270,Mostly Cloudy
80271,Mostly Cloudy
80272,Mostly Cloudy
80273,Mostly Cloudy
80274,Mostly Cloudy
80275,Mostly Cloudy
80276,Mostly Cloudy
80277,Mostly Cloudy
80278,Mostly Cloudy
80279,Mostly Cloudy
80280,Mostly Cloudy
80281,Mostly Cloudy
80282,Mostly Cloudy
80283,Mostly Cloudy
80284,Mostly Cloudy
80285,Mostly Cloudy
80286,Mostly Cloudy
80287,Mostly Cloudy
80288,Mostly Cloudy
80289,Mostly Cloudy
80290,Mostly Cloudy
80291,Mostly Cloudy
80292,Mostly Cloudy
80293,Mostly Cloudy
80294,Mostly Cloudy
80295,Mostly Cloudy
80296,Mostly Cloudy
80297,Mostly Cloudy
80298,Mostly Cloudy
80299,Mostly Cloudy
80300,Mostly Cloudy
80301,Mostly Cloudy
80302,Mostly Cloudy
80303,Mostly Cloudy
80304,Mostly Cloudy
80305,Mostly Cloudy
80306,Mostly Cloudy
80307,Mostly Cloudy
80308,Mostly Cloudy
80309,Mostly Cloudy
80310,Mostly Cloudy
80311,Mostly Cloudy
80312,Mostly Cloudy
80313,Mostly Cloudy
80314,Mostly Cloudy
80315,Mostly Cloudy
80316,Mostly Cloudy
80317,Mostly Cloudy
80318,Mostly Cloudy
80319,Mostly Cloudy
80320,Mostly Cloudy
80321,Mostly Cloudy
80322,Mostly Cloudy
80323,Mostly Cloudy
80324,Mostly Cloudy
80325,Mostly Cloudy
80326,Mostly Cloudy
80327,Mostly Cloudy
80328,Mostly Cloudy
80329,Mostly Cloudy
80330,Mostly Cloudy
80331,Mostly Cloudy
80332,Mostly Cloudy
80333,Mostly Cloudy
80334,Mostly Cloudy
80335,Mostly Cloudy
80336,Mostly Cloudy
80337,Mostly Cloudy
80338,Mostly Cloudy
80339,Mostly Cloudy
80340,Mostly Cloudy
80341,Mostly Cloudy
80342,Mostly Cloudy
80343,Mostly Cloudy
80344,Mostly Cloudy
80345,Mostly Cloudy
80346,Mostly Cloudy
80347,Mostly Cloudy
80348,Mostly Cloudy
80349,Mostly Cloudy
80350,Mostly Cloudy
80351,Mostly Cloudy
80352,Mostly Cloudy
80353,Mostly Cloudy
80354,Mostly Cloudy
80355,Mostly Cloudy
80356,Mostly Cloudy
80357,Mostly Cloudy
80358,Mostly Cloudy
80359,Mostly Cloudy
80360,Mostly Cloudy
80361,Mostly Cloudy
80362,Foggy
80363,Foggy
80364,Foggy
80365,Foggy
80366,Foggy
80367,Foggy
80368,Foggy
80369,Foggy
80370,Foggy
80371,Foggy
80372,Overcast
80373,Foggy
80374,Foggy
80375,Foggy
80376,Foggy
80377,Foggy
80378,Foggy
80379,Foggy
80380,Foggy
80381,Foggy
80382,Foggy
80383,Foggy
80384,Foggy
80385,Foggy
80386,Foggy
80387,Foggy
80388,Foggy
80389,Foggy
80390,Foggy
80391,Overcast
80392,Foggy
80393,Foggy
80394,Foggy
80395,Foggy
80396,Foggy
80397,Foggy
80398,Foggy
80399,Foggy
80400,Foggy
80401,Foggy
80402,Foggy
80403,Foggy
80404,Foggy
80405,Foggy
80406,Foggy
80407,Foggy
80408,Foggy
80409,Foggy
80410,Foggy
80411,Foggy
80412,Foggy
80413,Foggy
80414,Foggy
80415,Foggy
80416,Overcast
80417,Foggy
80418,Foggy
80419,Foggy
80420,Mostly Cloudy
80421,Mostly Cloudy
80422,Mostly Cloudy
80423,Mostly Cloudy
80424,Mostly Cloudy
80425,Mostly Cloudy
80426,Mostly Cloudy
80427,Mostly Cloudy
80428,Mostly Cloudy
80429,Mostly Cloudy
80430,Mostly Cloudy
80431,Mostly Cloudy
80432,Mostly Cloudy
80433,Mostly Cloudy
80434,Mostly Cloudy
80435,Mostly Cloudy
80436,Mostly Cloudy
80437,Mostly Cloudy
80438,Mostly Cloudy
80439,Mostly Cloudy
80440,Mostly Cloudy
80441,Mostly Cloudy
80442,Mostly Cloudy
80443,Mostly Cloudy
80444,Foggy
80445,Foggy
80446,Foggy
80447,Foggy
80448,Overcast
80449,Foggy
80450,Foggy
80451,Foggy
80452,Foggy
80453,Foggy
80454,Foggy
80455,Foggy
80456,Foggy
80457,Foggy
80458,Mostly Cloudy
80459,Mostly Cloudy
80460,Mostly Cloudy
80461,Mostly Cloudy
80462,Mostly Cloudy
80463,Mostly Cloudy
80464,Mostly Cloudy
80465,Mostly Cloudy
80466,Mostly Cloudy
80467,Foggy
80468,Foggy
80469,Foggy
80470,Foggy
80471,Foggy
80472,Foggy
80473,Foggy
80474,Foggy
80475,Foggy
80476,Foggy
80477,Foggy
80478,Foggy
80479,Mostly Cloudy
80480,Foggy
80481,Foggy
80482,Foggy
80483,Mostly Cloudy
80484,Mostly Cloudy
80485,Mostly Cloudy
80486,Mostly Cloudy
80487,Mostly Cloudy
80488,Mostly Cloudy
80489,Mostly Cloudy
80490,Mostly Cloudy
80491,Mostly Cloudy
80492,Mostly Cloudy
80493,Mostly Cloudy
80494,Foggy
80495,Foggy
80496,Foggy
80497,Foggy
80498,Foggy
80499,Foggy
80500,Foggy
80501,Foggy
80502,Foggy
80503,Foggy
80504,Mostly Cloudy
80505,Mostly Cloudy
80506,Mostly Cloudy
80507,Mostly Cloudy
80508,Mostly Cloudy
80509,Mostly Cloudy
80510,Mostly Cloudy
80511,Mostly Cloudy
80512,Mostly Cloudy
80513,Mostly Cloudy
80514,Mostly Cloudy
80515,Mostly Cloudy
80516,Mostly Cloudy
80517,Mostly Cloudy
80518,Mostly Cloudy
80519,Mostly Cloudy
80520,Mostly Cloudy
80521,Foggy
80522,Foggy
80523,Foggy
80524,Foggy
80525,Foggy
80526,Foggy
80527,Foggy
80528,Foggy
80529,Foggy
80530,Mostly Cloudy
80531,Mostly Cloudy
80532,Mostly Cloudy
80533,Mostly Cloudy
80534,Mostly Cloudy
80535,Mostly Cloudy
80536,Mostly Cloudy
80537,Mostly Cloudy
80538,Mostly Cloudy
80539,Mostly Cloudy
80540,Mostly Cloudy
80541,Mostly Cloudy
80542,Mostly Cloudy
80543,Mostly Cloudy
80544,Mostly Cloudy
80545,Mostly Cloudy
80546,Mostly Cloudy
80547,Mostly Cloudy
80548,Mostly Cloudy
80549,Mostly Cloudy
80550,Mostly Cloudy
80551,Mostly Cloudy
80552,Mostly Cloudy
80553,Mostly Cloudy
80554,Mostly Cloudy
80555,Mostly Cloudy
80556,Mostly Cloudy
80557,Mostly Cloudy
80558,Mostly Cloudy
80559,Mostly Cloudy
80560,Mostly Cloudy
80561,Mostly Cloudy
80562,Mostly Cloudy
80563,Mostly Cloudy
80564,Mostly Cloudy
80565,Mostly Cloudy
80566,Mostly Cloudy
80567,Mostly Cloudy
80568,Mostly Cloudy
80569,Mostly Cloudy
80570,Mostly Cloudy
80571,Mostly Cloudy
80572,Mostly Cloudy
80573,Mostly Cloudy
80574,Mostly Cloudy
80575,Mostly Cloudy
80576,Mostly Cloudy
80577,Mostly Cloudy
80578,Mostly Cloudy
80579,Mostly Cloudy
80580,Mostly Cloudy
80581,Mostly Cloudy
80582,Mostly Cloudy
80583,Mostly Cloudy
80584,Mostly Cloudy
80585,Mostly Cloudy
80586,Mostly Cloudy
80587,Mostly Cloudy
80588,Mostly Cloudy
80589,Mostly Cloudy
80590,Mostly Cloudy
80591,Mostly Cloudy
80592,Mostly Cloudy
80593,Overcast
80594,Mostly Cloudy
80595,Mostly Cloudy
80596,Mostly Cloudy
80597,Mostly Cloudy
80598,Mostly Cloudy
80599,Mostly Cloudy
80600,Mostly Cloudy
80601,Mostly Cloudy
80602,Mostly Cloudy
80603,Mostly Cloudy
80604,Mostly Cloudy
80605,Mostly Cloudy
80606,Mostly Cloudy
80607,Mostly Cloudy
80608,Mostly Cloudy
80609,Mostly Cloudy
80610,Mostly Cloudy
80611,Mostly Cloudy
80612,Mostly Cloudy
80613,Mostly Cloudy
80614,Mostly Cloudy
80615,Mostly Cloudy
80616,Mostly Cloudy
80617,Mostly Cloudy
80618,Mostly Cloudy
80619,Mostly Cloudy
80620,Mostly Cloudy
80621,Mostly Cloudy
80622,Mostly Cloudy
80623,Mostly Cloudy
80624,Mostly Cloudy
80625,Mostly Cloudy
80626,Mostly Cloudy
80627,Mostly Cloudy
80628,Mostly Cloudy
80629,Mostly Cloudy
80630,Mostly Cloudy
80631,Mostly Cloudy
80632,Mostly Cloudy
80633,Mostly Cloudy
80634,Mostly Cloudy
80635,Mostly Cloudy
80636,Mostly Cloudy
80637,Mostly Cloudy
80638,Mostly Cloudy
80639,Mostly Cloudy
80640,Mostly Cloudy
80641,Mostly Cloudy
80642,Mostly Cloudy
80643,Mostly Cloudy
80644,Mostly Cloudy
80645,Mostly Cloudy
80646,Mostly Cloudy
80647,Mostly Cloudy
80648,Mostly Cloudy
80649,Mostly Cloudy
80650,Mostly Cloudy
80651,Mostly Cloudy
80652,Mostly Cloudy
80653,Mostly Cloudy
80654,Mostly Cloudy
80655,Mostly Cloudy
80656,Mostly Cloudy
80657,Mostly Cloudy
80658,Mostly Cloudy
80659,Mostly Cloudy
80660,Mostly Cloudy
80661,Mostly Cloudy
80662,Mostly Cloudy
80663,Mostly Cloudy
80664,Mostly Cloudy
80665,Mostly Cloudy
80666,
80667,Mostly Cloudy
80668,Mostly Cloudy
80669,Mostly Cloudy
80670,Mostly Cloudy
80671,Mostly Cloudy
80672,Mostly Cloudy
80673,Mostly Cloudy
80674,Mostly Cloudy
80675,Mostly Cloudy
80676,Mostly Cloudy
80677,Mostly Cloudy
80678,Mostly Cloudy
80679,Mostly Cloudy
80680,Mostly Cloudy
80681,Mostly Cloudy
80682,Mostly Cloudy
80683,Mostly Cloudy
80684,Mostly Cloudy
80685,Mostly Cloudy
80686,Mostly Cloudy
80687,Mostly Cloudy
80688,Mostly Cloudy
80689,Mostly Cloudy
80690,Mostly Cloudy
80691,Mostly Cloudy
80692,Mostly Cloudy
80693,Mostly Cloudy
80694,Mostly Cloudy
80695,Mostly Cloudy
80696,Mostly Cloudy
80697,Mostly Cloudy
80698,Mostly Cloudy
80699,Mostly Cloudy
80700,Mostly Cloudy
80701,Mostly Cloudy
80702,Mostly Cloudy
80703,Mostly Cloudy
80704,Mostly Cloudy
80705,Mostly Cloudy
80706,Mostly Cloudy
80707,Mostly Cloudy
80708,Mostly Cloudy
80709,Mostly Cloudy
80710,Mostly Cloudy
80711,Mostly Cloudy
80712,Mostly Cloudy
80713,Mostly Cloudy
80714,Mostly Cloudy
80715,Mostly Cloudy
80716,Mostly Cloudy
80717,Mostly Cloudy
80718,Mostly Cloudy
80719,Mostly Cloudy
80720,Mostly Cloudy
80721,Mostly Cloudy
80722,Mostly Cloudy
80723,Mostly Cloudy
80724,Mostly Cloudy
80725,Mostly Cloudy
80726,Mostly Cloudy
